RefDes,Layer,LocationX,LocationY,Rotation
10-C1,Bottom,3.150,3.400,0
10-D1,Bottom,4.350,3.500,270
10-D2,Bottom,3.950,3.500,270
10-F1,Bottom,0.950,1.850,0
10-F2,Bottom,0.950,3.950,0
10-F3,Bottom,4.475,1.850,0
10-F4,Bottom,4.325,3.950,0
10-JP2,Bottom,2.050,4.100,180
10-JP4,Bottom,2.700,4.100,180
10-JP7,Bottom,1.400,4.100,180
10-R1,Bottom,4.200,3.500,270
10-R2,Bottom,4.100,3.500,270
11-C1,Bottom,7.650,3.400,0
11-D1,Bottom,8.850,3.500,270
11-D2,Bottom,8.450,3.500,270
11-F1,Bottom,5.450,1.850,0
11-F2,Bottom,5.450,3.950,0
11-F3,Bottom,8.975,1.850,0
11-F4,Bottom,8.825,3.950,0
11-JP2,Bottom,6.550,4.100,180
11-JP4,Bottom,7.200,4.100,180
11-JP7,Bottom,5.900,4.100,180
11-R1,Bottom,8.700,3.500,270
11-R2,Bottom,8.600,3.500,270
12-C1,Bottom,11.300,3.300,270
12-D1,Bottom,11.400,3.300,270
12-D2,Bottom,11.500,3.300,270
12-F1,Bottom,9.600,2.000,0
12-F2,Bottom,12.500,3.800,0
12-JP2,Bottom,10.450,4.100,180
12-JP4,Bottom,11.050,4.100,180
12-JP7,Bottom,11.650,4.100,180
12-U1,Bottom,11.350,3.500,180
13-C1,Bottom,1.556,4.950,180
13-C2,Top,1.025,5.138,270
13-C3,Top,1.025,4.994,270
13-C4,Bottom,1.556,5.025,180
13-C5,Top,1.500,4.562,0
13-C6,Bottom,1.569,4.487,180
13-C7,Top,1.388,5.144,270
13-C8,Bottom,1.556,4.800,180
13-C9,Bottom,1.556,4.875,180
13-D1,Top,1.275,4.575,270
13-D2,Bottom,1.187,4.668,270
13-D3,Bottom,1.060,4.665,270
13-D4,Bottom,0.925,4.663,270
13-D5,Bottom,0.725,4.663,270
13-D6,Bottom,0.586,4.831,90
13-D7,Bottom,0.594,4.669,270
13-F1,Top,0.825,5.275,0
13-F2,Top,1.619,4.712,0
13-F3,Bottom,0.825,5.300,0
13-F4,Bottom,1.425,4.300,0
13-JP1,Top,1.412,4.260,0
13-JP2,Bottom,1.100,5.025,0
13-L1,Bottom,1.556,5.100,0
13-LED1,Top,0.900,5.023,90
13-LED2,Top,0.900,5.150,90
13-R1,Bottom,0.650,5.025,0
13-R2,Bottom,0.650,5.150,180
13-R3,Bottom,1.125,4.663,270
13-R4,Bottom,0.998,4.663,270
13-R5,Bottom,0.863,4.663,270
13-R6,Bottom,0.800,4.663,270
13-R7,Bottom,0.651,4.837,270
13-R8,Bottom,0.656,4.663,270
13-R9,Bottom,0.812,5.025,180
13-R10,Bottom,0.812,5.150,180
13-SW1,Top,1.287,5.275,180
13-U1,Top,1.363,4.888,0
13-U2,Bottom,1.483,4.682,270
13-X1,Top,1.113,5.087,270
14-C1,Bottom,3.056,4.950,180
14-C2,Top,2.525,5.138,270
14-C3,Top,2.525,4.994,270
14-C4,Bottom,3.056,5.025,180
14-C5,Top,3.000,4.562,0
